title,year,runtime,certificate,rating,metascore,votes,gross
The Shawshank Redemption,1994,142,R,9.3,82.0,2780534,28.34
The Godfather,1972,175,R,9.2,100.0,1935895,134.97
Ramayana: The Legend of Prince Rama,1993,135,PG,9.2,,12470,
The Chaos Class,1975,87,,9.2,,42018,
Daman,2022,121,,9.1,,13372,
The Dark Knight,2008,152,PG-13,9.0,84.0,2758250,534.86
Schindler's List,1993,195,R,9.0,95.0,1399258,96.90
12 Angry Men,1957,96,Approved,9.0,97.0,825348,4.36
The Lord of the Rings: The Return of the King,2003,201,PG-13,9.0,94.0,1905920,377.85
The Godfather Part II,1974,202,R,9.0,90.0,1315944,57.30
Mirror Game,2016,147,,9.0,,28884,
Spider-Man: Across the Spider-Verse,2023,140,PG,8.9,86.0,203042,
Pulp Fiction,1994,154,R,8.9,95.0,2133402,107.93
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,87,,8.9,,20433,
The Message,1976,207,PG,8.9,,10007,
Tosun Pasa,1976,90,,8.9,,24068,
The Chaos Class Failed the Class,1975,91,,8.9,,24097,
Inception,2010,148,PG-13,8.8,74.0,2448697,292.58
Fight Club,1999,139,R,8.8,67.0,2215896,37.03
The Lord of the Rings: The Fellowship of the Ring,2001,178,PG-13,8.8,92.0,1934128,315.54
Forrest Gump,1994,142,PG-13,8.8,82.0,2162613,330.25
"The Good, the Bad and the Ugly",1966,178,Approved,8.8,90.0,784971,6.10
The Lord of the Rings: The Two Towers,2002,179,PG-13,8.8,87.0,1719861,342.55
Jai Bhim,2021,164,TV-MA,8.8,,208904,
Kill Bill: The Whole Bloody Affair,2006,247,Not Rated,8.8,,14589,
777 Charlie,2022,164,,8.8,,35953,
Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,2020,138,,8.8,,14257,
Balkan Spy,1984,95,,8.8,,12029,
Süt Kardesler,1976,80,,8.8,,20687,
#Home,2021,158,,Drama,"['Rojin Thomas', 'Indrans', 'Sreenath Bhasi', 'Manju Pillai', 'Naslen']","['Indrans', 'Sreenath Bhasi', 'Manju Pillai', 'Naslen']",8.8,,14248,
Maratonci trce pocasni krug,1982,92,,8.8,,16494,
Manichithrathazhu,1993,169,Not Rated,8.8,,11530,
Interstellar,2014,169,PG-13,8.7,74.0,1961434,188.02
Goodfellas,1990,145,R,8.7,92.0,1206389,46.84
One Flew Over the Cuckoo's Nest,1975,133,R,8.7,84.0,1038068,112.00
The Matrix,1999,136,R,8.7,73.0,1978527,171.48
Star Wars: Episode V - The Empire Strikes Back,1980,124,PG,8.7,82.0,1334461,290.48
The Kashmir Files,2022,170,Not Rated,8.7,,570689,
Rocketry: The Nambi Effect,2022,157,,8.7,,54592,
Soorarai Pottru,2020,153,TV-MA,8.7,,120264,
The Legend of Maula Jatt,2022,153,,8.7,,10175,
Pariyerum Perumal,2018,154,Not Rated,8.7,,17102,
Who's Singin' Over There?,1980,86,,8.7,,16118,
Toma,2021,140,,8.7,,11576,
"Saban, Son of Saban",1977,90,,8.7,,18327,
Neseli Günler,1978,95,,8.7,,11642,
Kibar Feyzo,1978,83,,8.7,,16901,
Peranbu,2018,147,Not Rated,8.7,,15429,
Zügürt Aga,1985,101,,8.7,,15901,
The Chaos Class Is Waking Up,1977,94,,8.7,,20393,
Oppenheimer,2023,180,R,8.6,88.0,310123,
Se7en,1995,127,R,8.6,65.0,1720481,100.13
The Silence of the Lambs,1991,118,R,8.6,86.0,1483496,130.74
Saving Private Ryan,1998,169,R,8.6,91.0,1440280,216.54
Terminator 2: Judgment Day,1991,137,R,8.6,75.0,1135144,204.84
Star Wars: Episode IV - A New Hope,1977,121,PG,8.6,90.0,1406490,322.74
The Green Mile,1999,189,R,8.6,61.0,1351498,136.80
Spirited Away,2001,125,PG,8.6,96.0,802646,10.06
City of God,2002,130,R,8.6,79.0,777677,7.56
Life Is Beautiful,1997,116,PG-13,8.6,59.0,718183,57.60
It's a Wonderful Life,1946,130,PG,8.6,89.0,476534,
Seven Samurai,1954,207,Not Rated,8.6,98.0,356066,0.27
Harakiri,1962,133,Not Rated,8.6,85.0,62737,
Sita Ramam,2022,163,,8.6,,61876,
A Dog's Will,2000,104,,8.6,,15849,
Nayakan,1987,145,Not Rated,8.6,,21338,
"Pretty Village, Pretty Flame",1996,115,,8.6,,17237,
Anbe Sivam,2003,160,Not Rated,8.6,,24325,
The Chaos Class Is on Vacation,1977,97,,8.6,,18418,
The Prestige,2006,130,PG-13,8.5,66.0,1384807,53.09
The Departed,2006,151,R,8.5,85.0,1371364,132.38
Parasite,2019,132,R,8.5,96.0,875968,53.37
Alien,1979,117,R,8.5,89.0,913221,78.90
Gladiator,2000,155,R,8.5,67.0,1552169,187.71
Back to the Future,1985,116,PG,8.5,87.0,1254896,210.61
Whiplash,2014,106,R,8.5,89.0,922294,13.09
Léon: The Professional,1994,110,R,8.5,64.0,1201937,19.50
The Pianist,2002,150,R,8.5,85.0,869453,32.57
Psycho,1960,109,R,8.5,97.0,694480,32.00
The Usual Suspects,1995,106,R,8.5,77.0,1113495,23.34
The Lion King,1994,88,G,8.5,88.0,1098436,422.78
American History X,1998,119,R,8.5,62.0,1152614,6.72
Grave of the Fireflies,1988,89,Not Rated,8.5,94.0,292372,
The Intouchables,2011,112,R,8.5,57.0,891789,13.18
Casablanca,1942,102,PG,8.5,100.0,588951,1.02
Once Upon a Time in the West,1968,165,PG-13,8.5,82.0,339984,5.32
Rear Window,1954,112,PG,8.5,100.0,506250,36.76
Cinema Paradiso,1988,155,R,8.5,80.0,271793,11.99
City Lights,1931,87,G,8.5,99.0,190317,0.02
Modern Times,1936,87,G,8.5,96.0,250973,0.16
Woman in the Dunes,1964,147,Not Rated,8.5,,21487,
The Best of Youth,2003,366,R,8.5,89.0,22687,0.27
The World of Apu,1959,105,Not Rated,8.5,,15664,0.02
Le Trou,1960,131,Not Rated,8.5,,19308,0.03
96,II) (2018,158,Not Rated,8.5,,33692,
Sarpatta Parambarai,2021,173,,8.5,,24112,
Kumbalangi Nights,2019,135,Not Rated,8.5,,16056,
Jersey,2019,157,Not Rated,8.5,,20327,
Operation 'Y' & Other Shurik's Adventures,1965,95,TV-G,8.5,,14160,
Selvi Boylum Al Yazmalim,1977,90,,8.5,,16504,
Thalapathi,1991,157,Not Rated,8.5,,12866,
Çöpçüler Krali,1977,80,,8.5,,20913,
Gol Maal,1979,120,Not Rated,8.5,,19634,
Zübük,1980,88,,8.5,,10423,
Memento,2000,113,R,8.4,83.0,1278774,25.54
The Dark Knight Rises,2012,164,PG-13,8.4,78.0,1763944,448.14
Avengers: Endgame,2019,181,PG-13,8.4,78.0,1202898,858.37
Spider-Man: Into the Spider-Verse,2018,117,PG,8.4,87.0,617288,190.24
Joker,I) (2019,122,R,8.4,59.0,1383945,335.45
Django Unchained,2012,165,R,8.4,81.0,1622078,162.81
Indiana Jones and the Raiders of the Lost Ark,1981,115,PG,8.4,85.0,1007635,248.16
Aliens,1986,137,R,8.4,84.0,739268,85.16
Oldboy,2003,120,R,8.4,77.0,604330,0.71
Apocalypse Now,1979,147,R,8.4,94.0,688260,83.47
The Shining,1980,146,R,8.4,66.0,1061743,44.02
Avengers: Infinity War,2018,149,PG-13,8.4,68.0,1144636,678.82
Amadeus,1984,160,R,8.4,87.0,413977,51.97
Come and See,1985,142,Not Rated,8.4,,88507,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,PG,8.4,97.0,504293,0.28
Your Name.,2016,106,PG,8.4,81.0,294633,5.02
Coco,I) (2017,105,PG,8.4,81.0,547471,209.73
WALL·E,2008,98,G,8.4,95.0,1156849,223.81
The Lives of Others,2006,137,R,8.4,89.0,399563,11.29
3 Idiots,2009,170,PG-13,8.4,67.0,415432,6.53
Capernaum,2018,126,R,8.4,75.0,97600,1.66
Das Boot,1981,149,R,8.4,86.0,257639,11.49
Paths of Glory,1957,88,Approved,8.4,90.0,204589,
Sunset Blvd.,1950,110,Passed,8.4,94.0,229180,
Witness for the Prosecution,1957,116,Approved,8.4,76.0,131375,8.18
The Great Dictator,1940,125,G,8.4,,230751,0.29
High and Low,1963,143,Not Rated,8.4,90.0,48996,
Sardar Udham,2021,164,TV-MA,8.4,,44755,
Dil Bechara,2020,101,Not Rated,8.4,,133237,
Kaithi,2019,145,Not Rated,8.4,,37000,
Asuran,2019,141,Not Rated,8.4,,31658,
Sansho the Bailiff,1954,124,Not Rated,8.4,96.0,17510,
Black Friday,2004,143,Not Rated,8.4,76.0,21579,0.03
The Pinchcliffe Grand Prix,1975,88,G,8.4,,13908,
Vada Chennai,2018,164,Not Rated,8.4,,18516,
The Lizard,2004,115,,8.4,,21626,
Mahanati,2018,177,Not Rated,8.4,,13659,
Drishyam 2,2021,152,,8.4,,39412,
Attack on Titan: Chronicle,2020,122,,8.4,,11161,
Filantropica,2002,110,,8.4,,13541,
Visaaranai,2015,117,Not Rated,8.4,,11494,
Kaun Pravin Tambe?,2022,134,,8.4,,10883,
Gentlemen of Fortune,1971,88,TV-13,8.4,,12298,
Thani Oruvan,2015,160,Not Rated,8.4,,20876,
"When I Grow Up, I'll Be a Kangaroo",2004,92,,8.4,,11174,
Satya,1998,170,Not Rated,8.3,,16037,
To Live,1994,133,Not Rated,8.3,,19581,2.33
Ayla: The Daughter of War,2017,125,,8.3,,42100,
Children of Paradise,1945,189,Not Rated,8.3,96.0,20643,
The Cranes Are Flying,1957,95,Not Rated,8.3,,18839,0.02
Red Beard,1965,185,Not Rated,8.3,90.0,20259,
Raatchasan,2018,170,Not Rated,8.3,,47659,
Maanaadu,2021,147,PG-13,8.3,,24094,
Super Deluxe,2019,176,Not Rated,8.3,,16468,
Samurai Rebellion,1967,128,Not Rated,8.3,90.0,13467,
Ordet,1955,126,Not Rated,8.3,,16764,
The Young and the Damned,1950,80,Not Rated,8.3,,21355,
Jana Gana Mana,2022,162,,8.3,,15086,
Aparajito,1956,110,Not Rated,8.3,,15303,0.17
Bangalore Days,2014,171,Not Rated,8.3,,21502,0.13
Agent Sai Srinivasa Athreya,2019,148,Not Rated,8.3,,15362,
Anniyan,2005,181,Not Rated,8.3,,19949,
Khosla Ka Ghosla!,2006,135,Not Rated,8.3,,24556,0.03
Premam,2015,156,,8.3,,21937,0.18
Cat City,1986,96,Unrated,8.3,,10415,
Drishyam,2013,160,Not Rated,8.3,,42901,
"Kidnapping, Caucasian Style",1967,82,TV-13,8.3,,12929,
Jaane Bhi Do Yaaro,1983,132,Not Rated,8.3,,14445,
Chupke Chupke,1975,146,Not Rated,8.3,,12945,
